,title,author,main_genre,sub_genre,type,price,rating,num_of_people_rated,autor_api,year_public,isbn,price_euro
0,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹169.00,4.4,19923.0,Arthur Conan Doyle,2017.0,8175994312,1.8928
2,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹175.75,4.6,50016.0,Khaled Hosseini,2016.0,0756948800,1.9684
5,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹313.95,4.5,15122.0,J. K. Rowling,2016.0,0606396683,3.51624
9,Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹644.52,4.5,3216.0,J. K. Rowling,2016.0,0606396683,7.218624
10,One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,₹892.00,4.2,10550.0,Arnold Bennett,1925.0,9780341688341,9.9904
13,The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹479.00,4.6,2871.0,John Truby,2008.0,0865479933,5.3648
15,"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹2,612.00",4.7,2653.0,Desconocido,,,29.2544
17,BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹424.00,4.7,915.0,Bruce Lee,1999.0,9780809228560,4.7488
18,JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹438.00,4.6,389.0,Gavin Thurston,2019.0,1841883107,4.9056
25,Hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,463.00",4.7,787.0,Robert Arthur,1967.0,9780394864013,16.3856
26,Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹176.32,4.2,22.0,Ashish Rajadhyaksha,2016.0,9780191034770,1.9747839999999999
32,On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹608.00,4.4,848.0,David Mamet,1991.0,0140127224,6.8096
34,ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹4,079.00",4.9,1903.0,Frank Thomas Bullen,1995.0,0786860707,45.6848
40,Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,"₹1,093.00",4.6,22078.0,Robert A. Heinlein,1985.0,9780345324412,12.2416
47,The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,795.00",4.7,2048.0,Kip S. Thorne,2014.0,0393351378,20.104
49,"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹2,435.00",4.8,6242.0,Richard Williams,2009.0,0571202284,27.272
51,THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,₹519.00,4.5,10871.0,Julia Cameron,1992.0,9789877352306,5.8128
53,Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹279.00,4.2,70056.0,Taylor Jenkins Reid,2022.0,9781804224748,3.1248
55,Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹599.00,4.5,878.0,Trinity College London Press,2020.0,9780857369789,6.7088
56,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹765.00,4.6,317.0,Trinity College London Press,2020.0,9780857369284,8.568
67,Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,₹232.00,4.4,84.0,Jaun Eliyā,2006.0,,2.5984
69,Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,₹580.00,4.8,769.0,"Willard A Palmer, Morton Manus, Amanda Vick Lethco",1988.0,,6.4959999999999996
71,Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,₹451.00,4.7,9115.0,Hal Leonard Corp.,1986.0,9780881884999,5.0512
75,Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,₹760.00,4.5,9371.0,Patti Smith,2013.0,9780066211312,8.512
76,Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹334.00,4.3,82376.0,Desconocido,,0385692196,3.7408
82,"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,"₹1,121.00",4.7,4243.0,Willard A. Palmer,2011.0,9780739082416,12.5552
84,Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,₹500.00,4.5,15.0,Sanchita Pandey,2022.0,1636406882,5.6
88,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts, Film & Photography",Music,Sheet music,"₹1,142.00",4.5,161.0,Trinity College London Press,2020.0,9780857369284,12.7904
90,"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,₹772.00,4.8,6322.0,Nancy Faber,1996.0,9781616777579,8.6464
105,Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Hardcover,₹469.00,4.5,367.0,William Shakespeare,2020.0,8194898838,5.2528
114,The Science of Storytelling,Will Storr,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,"₹1,172.00",4.5,1707.0,Will Storr,2019.0,9781690585107,13.1264
115,Four Great Comedies,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Mass Market Paperback,₹265.69,4.6,89.0,Desconocido,1989.0,9993375802,2.975728
118,Stella Adler: The Art of Acting,Howard Kissel,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,₹668.00,4.7,869.0,Howard Kissel,2000.0,1458411176,7.4816
121,BEFORE & LAUGHTER,Jimmy Carr,"Arts, Film & Photography",Theater & Ballet,Paperback,₹682.00,4.4,3198.0,Jimmy Carr,2022.0,9781529413083,7.6384
123,BUILDING A CHARACTER,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,₹371.00,4.7,456.0,Konstantin Stanislavsky,1992.0,9781569562031,4.1552
126,An Actor Prepares,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,₹568.00,4.5,1521.0,K. S. Stanislavskiĭ,1953.0,9780713801071,6.3616
127,Gulmohar,Kale V.P.,"Arts, Film & Photography",Theater & Ballet,Paperback,₹110.00,4.4,122.0,Aamer Hussein,2009.0,9780143067399,1.232
130,James Acaster's Guide to Quitting Social Media,James Acaster,"Arts, Film & Photography",Theater & Ballet,Hardcover,"₹1,280.00",4.0,338.0,James Acaster,2022.0,1472288572,14.336
133,Drama Games for Those Who Like to Say No,Chris Johnston,"Arts, Film & Photography",Theater & Ballet,Paperback,₹930.30,4.5,71.0,Chris Johnston,2014.0,1780012373,10.41936
138,William Shakespeare: The Complete Works (Illustrated),William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,₹86.29,4.6,1059.0,William Shakespeare,1975.0,,0.9664480000000001
139,Sanford Meisner on Acting,Dennis Longwell,"Arts, Film & Photography",Theater & Ballet,Paperback,₹622.00,4.6,1693.0,Sanford Meisner,1987.0,0394750594,6.9664
142,Will,Will Smith,"Arts, Film & Photography",Theater & Ballet,Paperback,₹473.00,4.6,22078.0,Robert A. Heinlein,1985.0,9780345324412,5.2976
143,101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,₹199.00,3.6,562.0,Adam Kisiel,2020.0,9781656470997,2.2288
153,THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Theory & Criticism,Paperback,₹519.00,4.5,10871.0,Julia Cameron,1992.0,9789877352306,5.8128
169,Watercolour Demonstrations,Milind Mulick,"Arts, Film & Photography",Theory & Criticism,Paperback,₹180.00,4.6,149.0,Percy V Bradshaw; Ernest W Haslehurst,1951.0,,2.016
182,Seneca's Letters from a Stoic,Lucius Annaeus Seneca,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,₹77.00,4.5,4513.0,Seneca,2016.0,0486811247,0.8623999999999999
186,Ways of Seeing,John Berger,"Arts, Film & Photography",Theory & Criticism,Mass Market Paperback,₹370.00,4.3,2784.0,John Berger,1977.0,0140135154,4.144
187,"Vincent van Gogh: 1853-1890, Vision and Reality",Ingo F. Walther,"Arts, Film & Photography",Theory & Criticism,Hardcover,"₹1,371.00",4.8,847.0,Vincent van Gogh,1996.0,9783822896303,15.3552
190,Lunch with the FT,Lionel Barber,"Arts, Film & Photography",Theory & Criticism,Paperback,₹689.00,4.4,107.0,Lionel Barber,2013.0,9780241400685,7.7168
205,Make You Bed,William H. McRaven,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Hardcover,₹209.00,4.5,20651.0,Tamicka Higgins,2016.0,1539572684,2.3407999999999998
207,AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹199.00,4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,2.2288
208,The Diary of A Young Girl,Anne Frank,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹119.00,4.5,34935.0,Anne Frank,2020.0,9789352782772,1.3328
212,Autobiography of A Yogi (Hindi),Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹179.00,4.6,4553.0,Paramhansa Yogananda,2010.0,9789380676371,2.0048
215,TWELFTH FAIL,Anurag Pathak,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹137.00,4.7,1036.0,Anurag Pathak,2019.0,9788194170105,1.5344
217,Why I Killed Gandhi?,Nathuram Godse,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹159.00,4.1,8010.0,Nathuram Vinayak Godse,2020.0,9783956763182,1.7808
218,Shoe Dog,Phil Knight,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,9781471146718,3.5952
219,"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹99.00,4.5,5111.0,Nikola Tesla,2013.0,1940177383,1.1088
220,Autobiography of a Yogi,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Audible Audiobook,"₹1,126.00",4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,12.6112
224,Chanakya Neeti,Acharya Chanakya,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Audible Audiobook,₹225.00,4.4,5634.0,R.P. Jain,2015.0,8184302118,2.52
228,Autobiography of A Yogi,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹159.00,4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,1.7808
231,The Story of My Experiments With Truth,Mahatma Gandhi,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹149.00,4.5,12116.0,Mohandas Karamchand Gandhi,1929.0,,1.6688
239,You Are Born to Blossom,DR APJ ABDUL KALAM,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹199.00,4.5,1957.0,APJ Abdul Kalam and Arun K. Tiwari,2008.0,8184300360,2.2288
241,"Here, There and Everywhere",Murty Sudha,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹162.00,4.6,4042.0,Frederic Hamilton,1937.0,1435332105,1.8144
244,The Unusual Billionaires,Saurabh Mukherjea,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹271.00,4.5,2236.0,Saurabh Mukherjea,2016.0,0670089257,3.0352
252,The Diary of A Young Girl,Anne Frank,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹119.00,4.5,34935.0,Anne Frank,2020.0,9789352782772,1.3328
254,The Thoughtful Investor,Basant Maheshwari,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹440.00,3.9,28.0,Seth A. Klarman,2000.0,9781893122819,4.928
255,TWELFTH FAIL,Anurag Pathak,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹137.00,4.7,1036.0,Anurag Pathak,2019.0,9788194170105,1.5344
256,Why I Killed Gandhi?,Nathuram Godse,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹159.00,4.1,8010.0,Nathuram Vinayak Godse,2020.0,9783956763182,1.7808
257,"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹99.00,4.5,5111.0,Nikola Tesla,2013.0,1940177383,1.1088
259,Autobiography of A Yogi,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹159.00,4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,1.7808
265,"Mother I Never Knew, The",Murty Sudha,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹197.00,4.5,2310.0,Sudha Murty,2014.0,9780143430179,2.2064
268,The Happiest Man on Earth,Eddie Jaku,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹389.00,4.7,15927.0,Eddie Jaku,2020.0,0063097680,4.3568
271,Daivathinte Charanmar - You Could Be One,JOSEPH ANNAMKUTTY JOSE,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹223.00,4.6,2053.0,Joseph Annamkutty Jose,2019.0,9789352827275,2.4976
272,Mossad,Michael Bar-Zohar,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹180.00,4.5,9306.0,Michael Bar-Zohar,2012.0,9780062123442,2.016
274,India's Most Fearless 3,Rahul Singh,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹200.00,4.8,530.0,Shiv Aroor,2022.0,9780143451112,2.2399999999999998
290,Conundrum,Chandrachur Ghose & Anuj Dhar,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹597.00,4.8,2093.0,Jan Morris coast to coast,1997.0,9780140264296,6.6864
296,Man-eaters of Kumaon,Jim Corbett,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹137.00,4.6,386.0,Jim Corbett,1983.0,9780553229417,1.5344
301,The Psychology of Money,Morgan Housel,Business & Economics,Analysis & Strategy,Paperback,₹275.00,4.6,59634.0,Morgan Housel,2020.0,9781312682344,3.08
304,A Beginner's Guide to the Stock Market,Matthew R. Kratter,Business & Economics,Analysis & Strategy,Kindle Edition,₹209.00,4.2,17879.0,Matthew R. Kratter,2019.0,1099617200,2.3407999999999998
307,The 5 AM Club,Robin Sharma,Business & Economics,Analysis & Strategy,Paperback,₹240.00,4.5,31455.0,Robin S. Sharma,2020.0,9781443460712,2.688
314,"Communication Book, The",Mikael Krogerus,Business & Economics,Analysis & Strategy,Hardcover,₹198.00,4.2,951.0,Joseph A. DeVito,2018.0,9780134623108,2.2176
316,"Thinking, Fast and Slow",Daniel Kahneman,Business & Economics,Analysis & Strategy,Audible Audiobook,₹957.00,4.5,29338.0,Daniel Kahneman,2016.0,9781804220375,10.718399999999999
318,Make You Bed,William H. McRaven,Business & Economics,Analysis & Strategy,Hardcover,₹209.00,4.5,20651.0,Tamicka Higgins,2016.0,1539572684,2.3407999999999998
320,HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,Dale Carnegie,Business & Economics,Analysis & Strategy,Paperback,₹88.00,4.5,3997.0,Dale Carnegie,1932.0,9780732264031,0.9856
321,The Intelligent Investor Rev Ed.,Benjamin Graham,Business & Economics,Analysis & Strategy,Audible Audiobook,"₹2,194.00",4.5,45519.0,Richard B. Banks,2021.0,9798704149095,24.5728
333,7 Habits of Highly Effective People,STEPHEN R COVEY,Business & Economics,Analysis & Strategy,Paperback,₹369.00,4.5,12321.0,Stephen R. Covey,1989.0,1883219337,4.1328
342,Shoe Dog,Phil Knight,Business & Economics,Analysis & Strategy,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,9781471146718,3.5952
343,Start With Why,SINEK SIMON,Business & Economics,Analysis & Strategy,Paperback,₹399.00,4.5,22568.0,Simon Sinek,2009.0,1101148209,4.4688
346,The Psychology of Money,Morgan Housel,Business & Economics,Analysis & Strategy,Kindle Edition,₹174.80,4.6,59634.0,Morgan Housel,2020.0,9781312682344,1.9577600000000002
347,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,Business & Economics,Analysis & Strategy,Paperback,₹325.00,4.6,41015.0,Go BOOKS,2020.0,9798609019264,3.64
348,How To Win Friends And Influence People (Dale Carnegie Books),Dale Carnegie,Business & Economics,Analysis & Strategy,Paperback,₹143.00,4.7,30263.0,Quickread,2021.0,9798460327713,1.6016
350,The Power of Your Subconscious Mind,Joseph Murphy,Business & Economics,Economics,Paperback,₹99.00,4.5,81265.0,Joseph Murphy,1963.0,1722501243,1.1088
361,As a Man Thinketh,James Allen,Business & Economics,Economics,Paperback,₹69.00,4.4,12254.0,James Allen,1985.0,9781597771191,0.7728
371,Objective Computer Awareness,Arihant Experts,Business & Economics,Economics,Paperback,₹90.00,4.2,890.0,Experts Arihant,2016.0,9789351768173,1.008
372,Option​s Trading Handbook,Mahesh Chandra Kaushik,Business & Economics,Economics,Paperback,₹155.00,4.0,1338.0,Mahesh Kaushik Chandra,2021.0,9789390378548,1.736
373,Think and Grow Rich,Napoleon Hill,Business & Economics,Economics,Audible Audiobook,₹166.00,4.4,74253.0,Napoleon Hill,1937.0,1633846822,1.8592
374,Before You Start Up : How to Prepare to Make Your Startup Dream a Reality,Pankaj Goyal,Business & Economics,Economics,Paperback,₹174.00,4.3,2425.0,Swapan Shaw,2021.0,9798771802954,1.9488
375,"Blue Ocean Strategy, Expanded Edition",W. Chan Kim,Business & Economics,Economics,Paperback,₹260.00,4.6,5109.0,W. Chan Kim,2016.0,9781633692879,2.912
377,The Communist Manifesto,Karl Marx,Business & Economics,Economics,Paperback,₹98.00,4.4,11916.0,David Boyle,2004.0,9780764128387,1.0976
382,The Power of Your Subconscious Mind,Joseph Murphy,Business & Economics,Economics,Kindle Edition,₹103.95,4.5,1085.0,Joseph Murphy,1963.0,1722501243,1.16424
383,Reminiscences of a Stock Operator,Edwin Lefèvre,Business & Economics,Economics,Paperback,₹302.00,4.4,3940.0,Edwin Lefevre,1998.0,0870340654,3.3824
384,The Wealth of Nations,Adam Smith,Business & Economics,Economics,Paperback,₹449.00,4.5,2048.0,Adam Smith,1920.0,9789562919050,5.0288
387,How to Develop Self-Confidence & Influence People By Public Speaking,Dale Carnegie,Business & Economics,Economics,Paperback,₹119.00,4.4,5134.0,Dale Carneigie,1983.0,0671472127,1.3328
392,Reminiscences of a Stock Operator,Edwin Lefevre,Business & Economics,Economics,Kindle Edition,₹42.70,4.4,3940.0,Edwin Lefevre,1998.0,0870340654,0.47824000000000005
401,"Communication Book, The",Mikael Krogerus,Business & Economics,Industries,Hardcover,₹198.00,4.2,951.0,Joseph A. DeVito,2018.0,9780134623108,2.2176
402,Shoe Dog,Phil Knight,Business & Economics,Industries,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,9781471146718,3.5952
405,Grit (L),Angela Duckworth,Business & Economics,Industries,Paperback,₹399.00,4.5,18186.0,Harvard Business Review,2021.0,9781647820701,4.4688
407,HOOKED,Nir Eyal,Business & Economics,Industries,Hardcover,₹453.00,4.6,7474.0,Hooked on Phonics,2005.0,1931020671,5.0736
408,Chip War,Chris Miller,Business & Economics,Industries,Paperback,₹575.00,4.7,5610.0,"Miller, Chris",2022.0,1398504106,6.4399999999999995
409,Measure What Matters,John Doerr,Business & Economics,Industries,Paperback,₹600.69,4.5,8656.0,John Doerr,2018.0,9780525538349,6.727728000000001
413,The Industry Handbook,Zebra Learn,Business & Economics,Industries,Hardcover,"₹1,490.00",4.2,149.0,Paul Rutter,2016.0,1317434595,16.688
414,Elon Musk,Ashlee Vance,Business & Economics,Industries,Audible Audiobook,₹820.00,4.5,31987.0,Ashlee Vance,2016.0,9780062301260,9.184
417,The World for Sale,Jack Farchy,Business & Economics,Industries,Paperback,₹401.00,4.6,2766.0,Gilbert Parker,2005.0,9781419188664,4.4912
420,Everyday Ayurveda (Hindi),BHASWATI BHATTACHARYA,Business & Economics,Industries,Paperback,₹205.00,3.9,65.0,Desconocido,,9780143429869,2.296
422,METABOLICAL,Dr Robert Lustig,Business & Economics,Industries,Paperback,₹500.00,4.6,3779.0,Haylie Pomroy,2013.0,0307986276,5.6
423,"Blue Ocean Strategy, Expanded Edition",Renee A. Mauborgne,Business & Economics,Industries,Hardcover,₹958.00,4.6,5109.0,W. Chan Kim,2016.0,9781633692879,10.7296
425,Sam Walton : Made In America,Sam Walton,Business & Economics,Industries,Mass Market Paperback,₹267.00,4.4,6847.0,Sam Walton,2005.0,8535219714,2.9904
432,Samanya Hindi,Onkaar Nath Verma,Business & Economics,Industries,Paperback,₹110.00,4.2,1444.0,LUCENT'S PUBLICATIONS,2017.0,9384761176,1.232
435,Business School,Robert T Kiyosaki,Business & Economics,Industries,Paperback,₹227.00,4.4,2107.0,Mark H. McCormack,1986.0,1861975643,2.5423999999999998
439,Hooked: How to Build Habit-Forming Products,Nir Eyal,Business & Economics,Industries,Kindle Edition,₹309.30,4.6,7474.0,Nir Eyal,2022.0,9780615978628,3.46416
441,Becoming Trader Joe,Joe Coulombe,Business & Economics,Industries,Paperback,₹529.69,4.3,675.0,Joe Coulombe,2021.0,9781400225439,5.9325280000000005
448,What the CEO Wants You to Know: How Your Company Really Works,Ram Charan,Business & Economics,Industries,Paperback,₹389.00,4.4,531.0,Ram Charan,2001.0,0609504231,4.3568
449,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,Mike Chapple,Business & Economics,Industries,Paperback,"₹5,210.00",4.7,1208.0,Mike Chapple,2021.0,1119790026,58.352
460,THE KOALA WHO COULD,Rachel Bright,Children's Books,Animals & Pets,Paperback,₹289.00,4.7,6586.0,Rachel Bright,2021.0,9783734820281,3.2368
463,The Rabbit Listened,Cori Doerrfeld,Children's Books,Animals & Pets,Hardcover,₹389.00,4.9,4309.0,Cori Doerrfeld,2020.0,9780525554820,4.3568
470,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,Animals & Pets,Hardcover,₹137.00,4.6,14.0,Sudha Murty,2024.0,0143458191,1.5344
479,Goodnight Moon,Margaret Wise Brown,Children's Books,Animals & Pets,Board book,₹270.00,4.4,45510.0,Margaret Wise Brown,1947.0,9686394028,3.024
480,Peppa Pig Super Stickers Activity Book,,Children's Books,Animals & Pets,Paperback,₹259.00,4.6,3609.0,Peppa Pig Staff,2016.0,0241252679,2.9008
481,GERONIMO STILTON: THE KINGDOM OF FANTASY,GERONIMO STILTON,Children's Books,Animals & Pets,Paperback,₹380.00,4.6,3955.0,Elisabetta Dami,2018.0,1338848003,4.256
484,Llama Llama Red Pajama,Anna Dewdney,Children's Books,Animals & Pets,Board book,₹344.00,4.8,11992.0,Anna Dewdney,2011.0,9780425290392,3.8528
487,Monkey Puzzle,Julia Donaldson,Children's Books,Animals & Pets,Board book,₹284.00,4.7,9365.0,Julia Donaldson,2016.0,9780333720011,3.1808
489,THE INCREDIBLE HISTORY OF THE INDIAN OCEAN,SANJEEV SANYAL,Children's Books,Animals & Pets,Paperback,₹162.00,4.5,386.0,Sanyal Sanjeev,2020.0,9780143446019,1.8144
491,Fantastic Mr Fox,Roald Dahl,Children's Books,Animals & Pets,Paperback,₹227.00,4.6,9878.0,Roald Dahl,1970.0,1484490576,2.5423999999999998
497,The Golden Key (Geronimo Stilton and the Kingdom of Fantasy #15),Geronimo Stilton,Children's Books,Animals & Pets,Hardcover,₹399.00,4.4,185.0,Elisabetta Dami,2018.0,1338848003,4.4688
499,"ZOOM, ZOOM, BABY!",Karen Katz,Children's Books,Animals & Pets,Board book,₹231.00,4.6,1966.0,Karen Katz,2014.0,9781442493148,2.5872
503,Flowers Coloring Book for adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.4,129.0,sk painting house,2020.0,9798624543690,1.1088
509,My first Travel Sticker Book,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹139.00,4.4,536.0,Wonder House Books,2018.0,9789388144957,1.5568
514,"ZOOM, ZOOM, BABY!",Karen Katz,Children's Books,"Cars, Trains & Things That Go",Board book,₹231.00,4.6,1966.0,Karen Katz,2014.0,9781442493148,2.5872
516,Mandala Coloring Book For Adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.3,55.0,Mahna. V Publication,2021.0,9798750662142,1.1088
518,Daughter of the Deep,Rick Riordan,Children's Books,"Cars, Trains & Things That Go",Paperback,₹259.00,4.7,4168.0,Rick Riordan,2023.0,0241538203,2.9008
520,Little Blue Truck,Alice Schertle,Children's Books,"Cars, Trains & Things That Go",Board book,₹667.00,4.9,19039.0,Alice Schertle,2008.0,0152056610,7.4704
522,The Octonauts Explore The Great Big Ocean,Meomi,Children's Books,"Cars, Trains & Things That Go",Paperback,₹376.00,4.8,3884.0,Meomi,2013.0,9780007481132,4.2112
524,Lost And Found,Oliver Jeffers,Children's Books,"Cars, Trains & Things That Go",Paperback,₹306.19,4.7,3435.0,Oliver Jeffers,2016.0,9781909225657,3.429328
528,Don't Let the Pigeon Drive the Bus!,Mo Willems,Children's Books,"Cars, Trains & Things That Go",Paperback,₹275.00,4.7,20.0,Mo Willems,2023.0,9781529509960,3.08
529,Where Do Diggers Sleep at Night?,Brianna Caplan Sayres,Children's Books,"Cars, Trains & Things That Go",Board book,₹344.00,4.8,14454.0,Brianna Caplan Sayres,2012.0,0593643607,3.8528
533,Nature Garden Coloring Book for Adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.3,34.0,King It net Coloring Book House,2022.0,9798847830805,1.1088
535,"Hello, World! Construction Site",Jill McDonald,Children's Books,"Cars, Trains & Things That Go",Board book,₹290.07,4.8,1462.0,Jill McDonald,2020.0,9781984896711,3.2487839999999997
537,TRAINS,Emily Bone,Children's Books,"Cars, Trains & Things That Go",Hardcover,₹149.00,4.5,234.0,Agatha Christie,1928.0,0060857625,1.6688
539,The Octonauts And The Frown Fish,Meomi,Children's Books,"Cars, Trains & Things That Go",Paperback,₹318.69,4.8,773.0,Meomi,2013.0,9780007312535,3.569328
541,What Do People Do All Day?,Richard Scarry,Children's Books,"Cars, Trains & Things That Go",Paperback,₹261.61,4.6,632.0,Richard Scarry,1968.0,9780007111589,2.930032
543,The Last Kids On Earth And The Doomsday Race - The Last Kids,Max Brallier,Children's Books,"Cars, Trains & Things That Go",Paperback,₹241.00,4.9,2123.0,Max Brallier,2021.0,9780008491338,2.6992
546,Cars – Read it yourself with Ladybird (non-fiction) Level 1 Ladybird,Ladybird,Children's Books,"Cars, Trains & Things That Go",Hardcover,₹104.00,4.1,151.0,Ladybird,2016.0,0241244447,1.1648
557,"Diary of a Wimpy Kid: Diper Överlöde (Book 17) (Diary of a Wimpy Kid, 17)",Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.5,11212.0,Jeff Kinney,2023.0,9781419767746,2.5423999999999998
558,Diary of a Wimpy Kid: Rodrick Rules (Book 2),Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,17834.0,Jeff Kinney,2009.0,0143304550,2.5423999999999998
